id,title,url,upload_date,view_count,duration_min
RZeUV7A2MSU,[2025] Rakuten Mobile's big comeback! A thorough explanation of its three secret strategies!,https://www.youtube.com/watch?v=RZeUV7A2MSU,,23962,14.4
6Tlhc9p_ews,"[Employee's Guide] How to Save 132,000 Yen with Rakuten Mobile! The Ultimate Application Procedure🔰",https://www.youtube.com/watch?v=6Tlhc9p_ews,,23669,34.8
NywkYrZ5Oco,"[Employees Reveal Everything] Rakuten Mobile's ""7 Essential Settings"" You'll Miss Out If You Don'...",https://www.youtube.com/watch?v=NywkYrZ5Oco,,23092,25.6
04R8FyeKPQA,[Employees' Tips] Rakuten Mobile's Top 5 Ultimate Tips,https://www.youtube.com/watch?v=04R8FyeKPQA,,21539,27.4
zJAgRFoKjTs,"[Shocking] Why will Rakuten Mobile be the strongest in 2026? Employees reveal ""5 revolutions""",https://www.youtube.com/watch?v=zJAgRFoKjTs,,19302,25.9
J-f0pEFEGLs,【緊急】楽天モバイル、三木谷キャンペーンがルール変更【5→1回線のみ適用など】,https://www.youtube.com/watch?v=J-f0pEFEGLs,,18822,9.5
KhJcBNBvmCs,"[Employee Confession] For those considering Rakuten Mobile, find out the truth first",https://www.youtube.com/watch?v=KhJcBNBvmCs,,17419,14.8
OH01APfUVsU,"[Irreversible] Why did the ""unauthorized access"" to Rakuten accounts occur? An employee tells us ...",https://www.youtube.com/watch?v=OH01APfUVsU,,16063,17.6
Nd2UuwF7ahI,[Discovered by Rakuten Mobile Employees] 7 Great Reasons to Own Two Smartphones! Tips and Tricks ...,https://www.youtube.com/watch?v=Nd2UuwF7ahI,,15165,24.2
Pbqof2KOh8A,"[90% of users lose] Changing your phone can waste 100,000 yen just by not knowing about it! Rakut...",https://www.youtube.com/watch?v=Pbqof2KOh8A,,15158,22.4
WFfz6mkNo0c,[Shocking] Rakuten Mobile's 5 Best Pairings,https://www.youtube.com/watch?v=WFfz6mkNo0c,,15059,21.8
DqsRNB1uPoE,[Rakuten Mobile] A complete guide to the Mikitani campaign! Employees share secret tips and trick...,https://www.youtube.com/watch?v=DqsRNB1uPoE,,14995,18.2
rspou_21JLw,"[Learn everything you need to know in one video!] Get up to 70,000 yen from Rakuten Mobile! Appli...",https://www.youtube.com/watch?v=rspou_21JLw,,13742,32.8
SopldR0Ysdk,【Android値下げ】楽天モバイル、2025年買うべきスマホ3選/オススメしない機種を完全解説,https://www.youtube.com/watch?v=SopldR0Ysdk,,13370,16.4
2DnKa6lQ25A,[Rakuten Mobile Employee's Decision] I'm Revealing Everything About My Past (including Important ...,https://www.youtube.com/watch?v=2DnKa6lQ25A,,13185,15.4
McY4oyhtlRc,【誰も教えない】楽天モバイル、エリア電波不安の解決方法（公式HPで確認/社員へ確認依頼/デュアルSIMのサブ回線で試す）,https://www.youtube.com/watch?v=McY4oyhtlRc,,12983,14.2
Wli2PLDde68,"[Warning] Rakuten Mobile employees' honest thoughts: If things continue as they are, ""Japan's com...",https://www.youtube.com/watch?v=Wli2PLDde68,,11705,13.0
LgZEC_i4Qek,"[Free consultation] Everything you need to know about Rakuten Mobile stores! Benefits, important ...",https://www.youtube.com/watch?v=LgZEC_i4Qek,,11550,19.0
5-oLGbBaHiM,[Employee Referral Campaign] Rakuten Mobile Getting Started Manual 📱 If you read this before appl...,https://www.youtube.com/watch?v=5-oLGbBaHiM,,9893,33.9
6qSPnEtZbEY,【要注意】楽天モバイル、2月〜SPU特典ルールが変更【結論：1回エントリーすれば、問題なし】,https://www.youtube.com/watch?v=6qSPnEtZbEY,,8510,10.6
wvPwAG6lgTs,[Special Notice] For those who have canceled their Rakuten Mobile contract. Renew your contract a...,https://www.youtube.com/watch?v=wvPwAG6lgTs,,8043,15.9
SqCLNiKUM4s,Common traits of people who regret switching to eSIM | Rakuten Mobile employee warns,https://www.youtube.com/watch?v=SqCLNiKUM4s,,7633,13.5
dv_1YWaei18,[Price hike? Loss? Bankruptcy?] Rakuten Mobile employees give their honest answers to the top 5 o...,https://www.youtube.com/watch?v=dv_1YWaei18,,7213,17.2
3Iup8k4-5L4,【新常識】楽天モバイル、16ヶ月無料にする方法！65歳以上は絶対これ！,https://www.youtube.com/watch?v=3Iup8k4-5L4,,7212,13.2
-AtIBQtBupM,【誰でもできる】楽天モバイルの契約特典13選！全て無料の最新版！年間10万以上お得【社員が完全解説】,https://www.youtube.com/watch?v=-AtIBQtBupM,,6860,22.4
qlbMtxy3a1Q,"[Hurry in January] Rakuten Mobile surpasses 10 million lines! If you don't act now, you could los...",https://www.youtube.com/watch?v=qlbMtxy3a1Q,,6663,14.3
hYjbjP173-U,"[Latest February 2026] Rakuten Mobile's latest campaign! A trick to get 37,500 yen worth of point...",https://www.youtube.com/watch?v=hYjbjP173-U,,6633,36.0
9UycOpMUWn8,【簡単】楽天モバイルのテザリングで通信費節約！設定＆使い方も実演解説！デメリット、メリットも全て話す！,https://www.youtube.com/watch?v=9UycOpMUWn8,,6446,16.7
0Meg0M9vbro,[Shocking] Try Rakuten Mobile for free for 10 months! Benefits drastically increased from September,https://www.youtube.com/watch?v=0Meg0M9vbro,,5722,8.1
pb-M_N7j5WI,"[Rakuten Mobile] Earn 50,000 yen at the Magical Deals Festival! Secret tips from our employees re...",https://www.youtube.com/watch?v=pb-M_N7j5WI,,5289,10.5
3t-BOPHOGnI,【マジで後悔】楽天モバイルを契約してはいけない「6つの理由」全部話します,https://www.youtube.com/watch?v=3t-BOPHOGnI,,5164,19.9
zhbmlz_Whlw,[End of the month or beginning of the month] The best time to apply for Rakuten Mobile! When is t...,https://www.youtube.com/watch?v=zhbmlz_Whlw,,5133,12.7
RN79AK-n6L4,【2025年最新】スマホ乗り換え オススメTOP3【楽天モバイル社員が忖度0で解説】,https://www.youtube.com/watch?v=RN79AK-n6L4,,4926,22.4
-WgWvrTA02I,【5年レビュー】楽天モバイルは本当におすすめ？社員がガチで答えます,https://www.youtube.com/watch?v=-WgWvrTA02I,,4789,14.0
3aKr0vSOM8s,【緊急】楽天モバイル社員から大切なご報告と、自己紹介,https://www.youtube.com/watch?v=3aKr0vSOM8s,,4293,9.2
LqOHus2A7Ws,"[Revolution] Rakuten Mobile's ""Strongest U-NEXT"" launches in October! A must-see for all users",https://www.youtube.com/watch?v=LqOHus2A7Ws,,4169,10.2
Z8raRV1FUhg,"[Rakuten, an emergency situation] Points are being distributed to all users. Super Rakuten Festival",https://www.youtube.com/watch?v=Z8raRV1FUhg,,4077,9.1
nL479oQyfxI,[Must-See] Rakuten Mobile's signal strength in all 47 prefectures is revealed! We also share the ...,https://www.youtube.com/watch?v=nL479oQyfxI,,4068,44.8
3sRl3VM3eMs,【2025年最新】楽天経済圏で年10万ポイント貰う方法【楽天モバイル社員が解説】,https://www.youtube.com/watch?v=3sRl3VM3eMs,,3942,25.5
qEM8xjGpWP4,"【新ルール】楽天モバイル、4月～1年未満の解約で手数料発生【最大でも1,078円】",https://www.youtube.com/watch?v=qEM8xjGpWP4,,3637,8.5
rBGqrxrB7NU,[Street Interview] What do you really think about Rakuten Mobile?,https://www.youtube.com/watch?v=rBGqrxrB7NU,,3536,16.2
mrHmRlRMSzM,[Employees' honest opinions] Answers to all your important questions about Rakuten Mobile!,https://www.youtube.com/watch?v=mrHmRlRMSzM,,3443,17.0
ebB6Luq713M,【知らないと損】楽天モバイル料金、下げれます【ポイント還元→値引きに改善】,https://www.youtube.com/watch?v=ebB6Luq713M,,3118,11.9
whOFUOS3PSg,【社員が徹底比較】楽天モバイルVSホリエモバイル！勝つのはどっち？,https://www.youtube.com/watch?v=whOFUOS3PSg,,2507,20.0
XLCA_S1iIJA,"【緊急発表】楽天モバイル×U-NEXT夢のコラボ！月1,089円お得になる方法",https://www.youtube.com/watch?v=XLCA_S1iIJA,,2250,8.6
MCXLfpZJuhw,【妻VS夫】楽天モバイル、契約しない妻へ必死の提案【衝撃の結末】,https://www.youtube.com/watch?v=MCXLfpZJuhw,,1954,17.5
HNNnASyNa0o,【検証】楽天モバイルの電波調査！ベトナム海外で「繋がるか」確認してみた。,https://www.youtube.com/watch?v=HNNnASyNa0o,,1878,14.0
K3ZEjJParFY,[A day in the life of a Rakuten Mobile employee who has always failed],https://www.youtube.com/watch?v=K3ZEjJParFY,,1793,31.6
akmACwAk8oo,"[New Application Method] Rakuten Mobile's ""free phone"" service is now available! But if you call ...",https://www.youtube.com/watch?v=akmACwAk8oo,,1648,16.9
-IKk8sSIVHw,"[Ending in February] Rakuten Mobile vs. Rakuten Market: If you don't choose correctly, you could ...",https://www.youtube.com/watch?v=-IKk8sSIVHw,,1647,14.6
psl9TVQ9dss,【対決】楽天モバイル、最強シニアプログラムを提案【楽天社員（孫）が本気説得】,https://www.youtube.com/watch?v=psl9TVQ9dss,,1277,15.1
7pTRGg8E-WQ,[New standard overseas] Rakuten Mobile offers up to 2GB of free data each month! No additional su...,https://www.youtube.com/watch?v=7pTRGg8E-WQ,,1194,11.1
b0anEQ9F5QQ,【完全版】楽天の歴史、創業～モバイル黒字化まで（失敗と成功の全記録）,https://www.youtube.com/watch?v=b0anEQ9F5QQ,,1147,30.3
